Interprete,Codigo,Nome,Trecho,Idioma,Catalogo
Lenine,1133,MARTELO BIGORNA,Muito do que eu faço não...,BRA,RAF
Leonardo,1134,MENTIROSA,O que posso fazer se a vida é assim,BRA,RAF
Waldick Soriano,1135,PERFUME DE GARDÊNIA,Perfume de gardênia tem em tua boca,BRA,RAF
Doce Encontro,1136,TÔ DE SACO CHEIO,La laiá... De tudo reclama e mesmo se eu faço,BRA,RAF
Grupo Kaluana-Adryana Ribeiro,1137,TUA INDIFERENÇA,Por que você não liga mais...,BRA,RAF
Marcia,1138,VENENO,Mas o que me faz chorar,BRA,RAF
Pe. Fábio de Mello,1139,VIDA,Pelas ruas da cidade pessoas andam num,BRA,RAF
Nelson Gonçalves,1140,VIOLÃO,Violão eu estou tão sozinho,BRA,RAF
Waldick Soriano,1141,A CARTA,Minha querida saudações,BRA,RAF
Ivete Sangalo,1142,AGORA EU JÁ SEI,Duvidava não entendia quando...,BRA,RAF
Chicas,1143,CARAS E BOCAS,Pra que conteúdo se a casca é,BRA,RAF
Papas da Língua,1144,DISCO ROCK,Ela não pensou não acreditou,BRA,RAF
Paula Fernandes-Almir Sater,1145,JEITO DE MATO,De onde é que vem esses olhos,BRA,RAF
Marisa Monte,1146,MAIS UMA VEZ,Mais uma vez eu vou te deixar,BRA,RAF
Os Thomés,1147,MEU AMOR,Senti o vazio e foi tanta dor,BRA,RAF
Rionegro e Solimões,1148,MOÍDO DE PAIXÃO,Saudade tá no meu olhar,BRA,RAF
Skank,1149,NOITES DE UM VERÃO QUALQUER,Noites de um verão qualquer,BRA,RAF
Agnela,1150,PODIA SER,Não sei porque você não quis ligar,BRA,RAF
Daniel,1151,PRA SEMPRE TE AMAR,Não somos duas crianças,BRA,RAF
Víctor e Léo,1152,SONHOS E ILUSÔES EM MIM,No fraco pôr-do-sol me fortaleço,BRA,RAF
Aliados,1153,SORRINDO,Ontem um sonho acabou,BRA,RAF
Jorge e Mateus,1154,TRAZ ELA DE VOLTA PRA MIM,Meu bem o que aconteceu...,BRA,RAF
Maria Bethânia,1155,UM JEITO ESTÚPIDO DE TE AMAR,Eu sei que eu tenho um jeito,BRA,RAF
Cazuza,1156,VAI A LUTA,Eu li teu nome num cartaz,BRA,RAF
Maria Cecília e Rodolfo,1157,VOCÊ DE VOLTA,Tudo que eu quero é você de volta,BRA,RAF
Cezar e Paulinho,1158,VOCÊ É TUDO QUE PEDI PRA DEUS,Na fazenda da Esperança mora o meu,BRA,RAF
Leonardo,1159,VOLTE AMOR,Não sei o que é que eu faço sem,BRA,RAF
Jorge e Mateus,1160,VOU FAZER PIRRAÇA,Vou pagar promessa de...,BRA,RAF
Udora,1161,A FALTA (QUE ME FAZ),Eu vou me dou te abro uma porta,BRA,RAF
Beth Carvalho,1162,AMOR DE VERDADE,Tem que ser agora ou nunca mais,BRA,RAF
Jorge Vercilo,1163,DEVANEIO,Mergulhei no mar e não dava...,BRA,RAF
Carlos José,1164,ESMERALDA,Vestida de noiva com véu e grinalda,BRA,RAF
Alcione,1165,EU VOU PRA LAPA,É ela a dama da noite,BRA,RAF
Guilherme e Santiago,1166,FRANGUINHO NA PANELA,O recanto onde eu moro é...,BRA,RAF
Chico Buarque,1167,GOTA D'ÁGUA,Já lhe dei meu corpo minha alegria,BRA,RAF
Zé Ramalho,1168,JARDIM DAS ACÁCIAS II,Nada vejo por esta cidade,BRA,RAF
Pique Novo,1169,LIGANDO OS FATOS,Pode até falar que nada aconteceu,BRA,RAF
Paralamas do Sucesso,1170,MEU SONHO,Pode ser que meu sonho seja assim,BRA,RAF
Nelson Gonçalves,1171,MEU VÍCIO É VOCÊ,Boneca de trapo pedaço...,BRA,RAF
Bruno e Marrone,1172,NÃO TENTE ME IMPEDIR,Dundêrarium... Eu jurar amor para que você,BRA,RAF
Cauby Peixoto,1173,NINGUÉM É DE NINGUÉM,Ninguém é de ninguém na vida tudo,BRA,RAF
Strike,1174,NO VENENO,Ela adora me odiar não me dá trela,BRA,RAF
CPM 22,1175,NOSSA MÚSICA,Lembro que disse é hora de ,BRA,RAF
Udora,1176,PELO MENOS HOJE,Hoje pelo menos hoje não...,BRA,RAF
Carlos José,1177,QUERIA,Queria que você fosse o meu último,BRA,RAF
Wanderléa,1178,TE AMO,Quisera ter a coragem de dizer,BRA,RAF
Ana Carolina,1179,VAI,Espera aí nem vem com essa ,BRA,RAF
Grupo Tradição,1180,VOCÊ NÃO VALE UM REAL,Você não vale um real mas...,BRA,RAF
Zé Geraldo,1181,A FÉ,Tá na prece do cristão na festa do,BRA,RAF
Ornella Di Santis-Belo,1182,AGENDA,Sei que pra você eu sou apenas mais um,BRA,RAF
Zé Henrique e Gabriel,1183,"AH, QUE DEUS É ESSE!",Se Ele chegar nesse lugar,BRA,RAF
Sorriso Maroto,1184,AINDA EXISTE AMOR EM NÓS,Nós estamos separados...,BRA,RAF
Calcinha Preta,1185,AMOR DIVIDIDO,Não quero mais esse amor dividido,BRA,RAF
João Bosco e Vinícius,1186,CORAÇÃO SÓ VÊ VOCÊ,Se esse amor não falasse tão...,BRA,RAF
João Neto e Frederico,1187,DETONOU,Detonou explodiu bagunçou...,BRA,RAF
Leonardo,1188,ESSE ALGUÉM SOU EU,Meu pensamento são flores perfumando,BRA,RAF
Franco Levine,1189,EU TÔ AQUI,Senta aqui não vou tomar seu,BRA,RAF
Calcinha Preta,1190,VOCÊ NÃO VALE NADA,Você nao vale nada mas eu gosto de,BRA,RAF
Nando Reis,1191,AINDA NÃO PASSOU,Triste é não chorar sim eu...,BRA,RAF
Jussara Silveira,1192,ALÉM DO PARAÍSO,Perversa serpente do mal...,BRA,RAF
Bruno e Marrone,1193,AMOR NÃO VAI FALTAR,Me diz o que você quer que eu te faça,BRA,RAF
Mc Babi,1194,ANJO DA MADRUGADA,Uh uh uh... Todo dia eu acordo,BRA,RAF
Nelson Gonçalves,1195,CAMISOLA DO DIA,Amor eu me lembro ainda,BRA,RAF
Nelson Gonçalves,1196,CHORE COMIGO,Estou mais triste nesta...,BRA,RAF
Leonardo,1197,LONGE,Onde é que eu fui parar aonde é esse,BRA,RAF
Noite Ilustrada,1198,MEUS TEMPOS DE CRIANÇA,Eu daria tudo que tivesse,BRA,RAF
Janaina Kais,1199,MULHER PRA NAMORAR,Chega chega dessa...,BRA,RAF
Fernando e Sorocaba,1200,PAGA PAU,Você diz que não me ama você diz que,BRA,RAF
